Rev YOY % [FY1997],Rev YOY % [FY1998],Rev YOY % [FY1999],Rev YOY % [FY2000],Rev YOY % [FY2001],Rev YOY % [FY2002],Rev YOY % [FY2003],Rev YOY % [FY2004],Rev YOY % [FY2005],Rev YOY % [FY2006],Rev YOY % [FY2007],Rev YOY % [FY2008],Rev YOY % [FY2009],Rev YOY % [FY2010],Rev YOY % [FY2011],Rev YOY % [FY2012],Rev YOY % [FY2013],Rev YOY % [FY2014],Rev YOY % [FY2015],Rev YOY % [FY2016],EBITDA Margin % [FY 1997],EBITDA Margin % [FY 1998],EBITDA Margin % [FY 1999],EBITDA Margin % [FY 2000],EBITDA Margin % [FY 2001],EBITDA Margin % [FY 2002],EBITDA Margin % [FY 2003],EBITDA Margin % [FY 2004],EBITDA Margin % [FY 2005],EBITDA Margin % [FY 2006],EBITDA Margin % [FY 2007],EBITDA Margin % [FY 2008],EBITDA Margin % [FY 2009],EBITDA Margin % [FY 2010],EBITDA Margin % [FY 2011],EBITDA Margin % [FY 2012],EBITDA Margin % [FY 2013],EBITDA Margin % [FY 2014],EBITDA Margin % [FY 2015],EBITDA Margin % [FY 2016]
-23.0998,106.626,98.1534,49.9938,55.9871,-23.3878,-2.973,14.5436,-2.6807,356.7382,5.292,16.9776,-8.8712,11.4347,30.0488,36.9543,14.536,14.2699,19.6048,-2.9884,1.8748,3.4364,3.2958,3.5597,3.5662,4.8382,5.8058,4.8547,5.2034,2.0734,2.2891,4.3904,0.9262,1.7195,2.1281,2.3778,2.7376,3.2344,3.0546,2.6778
-,0,45.2726,68.4125,57.317,83.4753,42.6934,34.4228,75.1312,39.2058,28.9529,14.5547,0.446,52.9824,15.1966,13.1119,1.2014,6.6,6.3841,-,-,17.9437,16.3864,13.3613,12.0025,9.8506,8.2447,8.0536,6.7398,7.0691,6.8962,5.2983,5.9783,4.13,3.733,4.5009,4.6208,5.061,5.2497,-
-7.6914,11.149,7.4887,15.3383,-7.4566,25.1227,29.1104,9.3675,8.4988,5.7234,13.7773,13.4994,-3.2206,10.0225,0.9616,-5.4132,-6.696,-0.7516,-7.2667,-,12.8267,12.1159,11.7155,10.9842,7.1905,8.0016,8.9021,8.5438,8.4248,9.9533,11.012,11.9842,13.7911,14.2224,12.8673,11.9511,11.3572,11.7976,11.8059,-
37.6542,27.8652,29.3867,16.2505,10.1934,12.1323,13.4743,14.4406,8.0168,11.2948,15.4464,18.1878,-3.2821,6.9254,11.9374,5.4044,5.5966,11.5402,7.77,-8.8267,45.4758,47.4249,53.1371,52.3697,52.4035,32.4695,36.3127,34.4264,44.624,42.1728,39.8752,42.9377,39.3312,42.5789,42.4602,41.6613,39.61,37.0032,35.8751,32.7168
4.915,-1.2468,-5.2077,0.2843,5.1964,-5.028,2.4765,5.3797,4.571,4.8494,8.2738,9.5515,-10.9237,-10.3179,3.8719,3.7578,-6.4641,6.917,1.1222,2.6534,9.864,9.0223,6.4434,8.9438,10.0727,6.0198,8.8152,8.5546,9.2666,8.9374,7.8504,9.2023,7.8404,8.4731,10.1148,9.2277,9.2914,10.1213,10.5479,11.4046
3.372,4.0237,7.2011,-2.8088,-2.3764,-2.2645,9.7861,8.0353,-5.3577,0.3171,8.0526,4.9045,-7.5963,4.2941,7.0551,-3.7806,-4.3802,-5.6675,-11.9104,-,16.8479,16.517,20.0244,17.6262,18.3129,15.2649,16.5206,16.3044,18.758,19.4896,19.9169,21.7977,24.7154,24.647,24.6558,26.7103,26.1263,26.2649,24.5678,-
-,-,-,-,-,408.5367,233.5397,117.5557,92.4782,72.759,56.4744,31.3487,8.5107,23.9736,29.2759,21.4589,20.5912,18.88,13.6179,-,-,-,-,-,29.0954,49.0204,27.5751,31.3872,39.1148,38.8681,36.4713,37.3095,41.588,40.1657,37.1797,36.4821,34.8385,32.5373,32.5687,-
-,-,-,-,-,-,-,-,0,42.1689,50.9909,42.9076,19.0405,22.4669,11.7125,7.9777,8.55,20.5719,37.0621,-,-,-,-,-,-,-,-,-,-,-,-,18.7378,15.5522,18.1689,10.4688,10.704,13.2329,14.3891,12.8779,-
20.2571,4.7985,11.86,14.7572,-21.31,0.8478,12.6176,13.4965,13.4964,-8.8704,8.3432,-1.9513,-6.5424,24.1865,23.7856,-1.2186,-1.1868,5.999,-0.9218,-,48.181,43.4171,46.8066,45.6235,32.9967,36.1567,43.8771,44.3772,43.3343,31.4255,35.295,37.9928,38.9757,46.3654,43.5952,41.544,39.013,43.2987,41.671,-
37.9099,32.8829,27.3876,9.4286,-17.9984,-10.8297,0.6845,12.5991,13.142,8.8487,11.7662,-1.9544,-14.1048,17.1894,5.0296,4.1251,12.4952,9.2435,-7.4463,-,2.5595,2.5167,1.1326,1.5039,1.0807,1.1825,1.2386,1.3279,1.6165,1.5368,1.4534,1.4477,1.3709,1.5817,1.4342,1.4772,1.5952,1.6422,1.789,-
