Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
41.3444,730.2474,-,164.0586,27.0502,-,35.7878,125.7306,67.6071,97.8269,-,-,-,-,9.4051,7.7821,26.5585,11.6445,25.4931,33.6365,0,0,0,0,0,3.32186,15.103,303.89546,11.74123,10.55414,119.70672,11.42202,8.38945,1.14719,1.82553,1.25692,1.61604,44.20171,4.19971,2.94279
12.8508,13.1795,11.3978,11.479,12.508,28.0804,16.5446,15.6972,15.7549,17.7307,20.6085,20.9583,21.3035,21.4184,21.9047,22.7234,24.6193,35.4766,37.1266,-,6250,6278,6645,6073,3652,3087,3200,5361,7739,8084,18828,10578,7429,15375,15046,11995,13859,13679,4609,-
-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,801,0,0,0,0,1780,-
-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,-
2.5917,3.5761,5.0041,4.4613,41.6731,17.0997,9.2891,13.5976,22.5992,45.9952,37.5286,58.5789,71.1375,30.5565,31.8884,39.5274,46.5592,37.6708,39.8949,-,3372,6785,4612,4007,4008,4014,4012,7516,10637,4593,2788,7195,1762,1736,14340,5110,2440,11124,3443,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0312,-,0.63,0.65,0.107,0.089,0.039,0,0,0,0,0,25.061,222.346,0,152.285,225.905,50,0,0,259.027,-
39.9007,331.269,-,44.7231,230.5128,-,-,0,37.6124,18.1019,16.1812,32.9993,-,14.8702,42.0877,53.0732,-,5.4762,11.8208,19.0761,0,0,0,0,0,0,0,0,0,0,0,0,0,226.35543,1.44646,0,0,0.83795,0,0
-,-,-,-,-,-,-,-,-,-,100.0316,47.9496,39.2193,64.4069,2937.8458,34.0816,60.0404,69.108,53.9234,-,-,-,-,-,-,-,-,-,-,-,0,12.8433,32.2174,31.91322,0.30022,0,0,0.12992,54.62907,-
0,0,0,0,0,0,0,0,0,0,0,0,4.4698,16.3651,12.4137,12.0729,13.1167,19.8813,22.6906,28.5473,528.209,489.823,1086.953,5307,4341,2792,2653,1499,1343,2067,3937,2023,3972,992,1160,5856,11021,9833,8101,10529
-,0,0,0,0,0,0,0,0,27.5315,23.5739,14.9095,19.3527,39.8894,25.3853,34.0061,31.778,40.0778,41.8127,-,-,-,17.731,47.917,524.13,560.718,560.414,3459.934,1625.097,2087.027,2307.947,2261.234,1855.384,2070.875,2171.877,2098.841,2544.352,2559.434,2452.989,-
